property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,קרית משה,הרב נדב דוד 11,3.0,4,70,0,0,12,250,,4,"שכונה קרית משה

טלוויזיה, מקרר, מזגן, תנור וכיריים,  מיקרוגל,  מכונת 
כביסה וכו'
רהיטים:  ספה, מיטות, ארונות, שולחנות, כיסאות וכו'",0,0,0,0,0,0,0,0,0,0,3200.0,9,3697.0
דירה,"ביל""ו",מרשוב 4,3.5,4,90,0,0,12,1300,150,4,"ללא תיווך בהזדמנות, ברחובות סמוך לקניון דירת 3.5 חדרית מרווחת. שלושה מזגנים, דוד""ש, חניה משותפת בבנין על בסיס מקום פנוי, פינת אוכל, ארון בגדים גדול, מקרר, מתאימה לשותפים או למשפחה.",1,0,0,1,0,0,0,1,0,0,4200.0,9,1691.0
דירה,,הרצל 29,4.0,4,86,0,0,12,380,180,8,"דירת 4 חדרים עם 2 חדרי שירותים משופצים, מטבח משופץ, מזגנים חדשים בכל חדר, לטווח ארוך כניסה מיידית, ללא בע""ח",0,0,0,0,0,0,0,0,0,0,5000.0,4,2098.0
דו משפחתי,שמורת מליבו,זמל זוסיא 6,6.0,0,160,250,0,12,750,0,0,"להשכרה 6 חדרים בשמורת מליבו בנס ציונה, במיקום הטוב ביותר בשכונה. בית שמור עם גינה מטופחת. שערים חשמליים, חנייה כפולה, סורגים ומערכת אזעקה.
ריהוט מלא בכל הבית כולל ארונות בכל החדרים והמקלחות, מכשירי חשמל ומיזוג בכל הבית. מטבח ומזווה מעץ מלא רגבה.
פינוי גמיש. עדיפות לטווח ארוך.
חיים: 054-5797476",0,0,0,0,0,0,0,1,0,0,15000.0,9,6046.0
דירה,"ביל""ו",פינס 5,4.0,4,110,0,0,12,600,260,5,"📍3 מרפסות שירות
3 מזגנים, אין חניה פרטית. אפשרות שותפים.
פינוי סוף יולי תחילת אוגוסט.",0,0,1,1,1,0,0,0,0,0,5000.0,9,1691.0
דירה,בנימין;נורדאו,מנדלי מוכר ספרים 15,2.5,0,45,0,0,12,569,100,2,"דירת 2 חדרים וחצי במיקום מרכזי, שכונה שקטה, קרוב למרכז העיר . רחוב חד-סטרי ושקט ביותר. סמוכה לתחנות אוטובוס (בין הרחובות הרצל, עזרא ובנימין) ובמרחק הליכה קצרצרה לרחוב הרצל, לגן המגינים, לבית התרבות, לגני ילדים ולבתי ספר. 
צמודת קרקע עם מרפסת לחצר קטנה. לאחר שיפוץ מטבח ואינסטלציה.
מתאימה לזוג צעיר  או ליחיד.

ארונות מטבח חדשים, מזגנים, דלפק שולחן במטבח.

מזנון גדול בסלון, ארון בגדים 4 דלתות, 6 כסאות, 2 ספריות כוורת (עם גלגלים).

הריהוט ניתן למסירה.",0,0,0,0,0,0,0,1,0,0,4500.0,7,1449.0
מרתף/פרטר,גני איריס ; גבעת האירוסים,פעמונית 1,2.0,0,65,0,0,12,,0,0,"יחידת דיור מהממת ומרווחת, חדשה, כולל רהוט חלקי, ובנוסף ממד. חלונות חיצוניים לכל אורך ורוחב המרתף.",1,0,0,1,0,0,1,0,1,0,4100.0,5,1691.0
סטודיו/לופט,,אשכול 2,1.0,1,40,0,0,12,,0,1,"יחידת סטודיו במצב שמור מאוד , מתאימה ליחיד או לזוג ללא ילדים וללא בעלי חיים , המחיר כולל ארנונה ומים , יש לשלם חשמל בהתאם לצריכה המופיע במונה נפרד. מקום שקט ונוח ויש להתנהג בהתאם .  
קיים ריהוט חלקי , פרטים בטלפון .",0,0,0,1,0,0,0,0,1,0,2900.0,7,9860.0
יחידת דיור,,אשכול 2,2.0,1,50,0,0,12,,0,1,"להשכרה דירת 2 חדרים במצב שמור , הדירה כוללת ריהוט חלקי + wifi וממיר טלוויזיה , כולל דוש שמש ושני מזגנים .
המחיר כולל ארנונה ומים בלבד (לא כולל חשמל ) .
מתאימה ליחיד או לזוג ללא ילדים , אין אפשרות להביא בע""ח .  אני מחפש דייר שקט המקיים שגרת חיים רגועה .
לפרטים נוספים יש להתקשר אלי .",0,0,0,0,0,0,0,0,0,0,3600.0,8,9860.0
דירה,שכונת יחד,גורדון 7,4.5,1,110,0,0,12,1200,200,4,"110 מטר בנוי.
2 חניות עוקבות
ארנונה 600 לחודש
ועד בית 200 שקל
4.5 חדרים שקטה גדולה מושקעת אחרי שיפוץ של הבניין ובפנים
אינסטלציה חדשה
2 שירותים 
מטבח חדש ונפרד מהסלון
פינת אוכל גדולה
יש מקלט מתחת לבית
קומה ראשונה עם מעלית
כניסה מיידית",1,0,1,0,0,0,1,0,1,0,6000.0,12,4725.0
